wav_path,duration,transcript
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37664539.wav,3.252,Ugongwa wa kupinda shingo
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37860685.wav,5.979,Dalili ya ugonjwa wa miguu na midomo ni mnyama kutokwa na ute mrefu mdomoni
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37772967.wav,4.046,Wanyama walioathirika na ugonjwa wa ukurutu wanaweza kufa wasipotibiwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37911549.wav,7.815,"Hata hivyo maelfu ya watu waliojitokeza kumsikiliza rais wa chama ,Chamisa , akizungumza inaonyesha hakuna shaka yoyote"
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806408.wav,7.174,"Marais Uhuru Kenyata wa Kenya Yoweri Museveni wa Uganda, na Paul Kagame wa Rwanda"
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37990259.wav,4.465,Moto wa pili wazuka kwenye jengo la bunge Afrika Kusini wadhibitiwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37803619.wav,2.704,Zingatia matibabu ya wanyama wagonjwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37860474.wav,6.281,Jamii yetu imetawaliwa na fikra za kuwaabudu watu wenye pesa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37647595.wav,6.704,Alisema jambo muhimu ni kuchukua msimamo thabiti na kuzuia manyanyaso dhidi ya raia
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37840765.wav,2.628,tetekuwanga zinazoathiri ngamia
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37647510.wav,2.45,Wanyama wote wanaweza kuathiriwa na kititi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665449.wav,4.001,"Na mwaka uliofuata, wa elfu moja mia tisa sitini na saba."
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806257.wav,5.132,Wanajeshi wa kitengo cha anga Marekani wamepelekwa Upoland
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37916812.wav,6.215,Hivi leo kinaendelea kutoa nafasi salama kuwasaidia watoto wa kike na wanawake vijana
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37382646.wav,4.084,matangazo kupitia mitambo ya Sauti ya Amerika mjini Washington
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37665229.wav,4.994,Kuambukiza chakula cha wanyama kunakofanywa na wanyama wagonjwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806583.wav,5.816,Ugonjwa wa mapele ya ngozi kwa ngombe hulipuka baada ya mvua nyingi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806592.wav,6.603,kwa uchumi na kishinikizo cha kuchukua hatua za kukabiliana na mabadiliko ya hali ya hewa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806904.wav,7.931,Juu ya mada kuanzia ndoa za watu wa jinsia moja hadi kuwahukumu waliopatikana na hatia ya kuwa na picha za ngono za watoto.
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806605.wav,3.936,Ramani mpya ya Jumuiya ya Afrika Mashariki yazinduliwa.
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806609.wav,6.486,Wanyama huambukizwa ugonjwa wa kimeta kwenye malisho yenye bakteria wa ugonjwa
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37397950.wav,4.768,Serikali ya kijeshi ya Sudan imeondoa hali ya dharura
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37398555.wav,4.186,amesema Unathi Binqose afisa wa serikali
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806787.wav,5.194,Kuathirika kwa mnyama hali inapokuwa mbaya zaidi
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37806805.wav,3.663,nchini Jamhuri ya Kidemokrasi ya Kongo
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37802355.wav,5.049,Kwa wanyama waliokua ugonjwa wa miguu na midomo si hatari sana sababu wengi hupona
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37802415.wav,3.161,Hali hatari zinazochangia ugonjwa huu
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37610342.wav,3.679,Mnyama kuvimba tezi chini ya shingo ni dalili ya ugonjwa wa mapafu
/Users/annette/Desktop/asr1/cleaned_sw_audio_14_0_delta/common_voice_sw_37663873.wav,5.335,Benki hiyo kwa sasa inafanya utafiti wa awali kufahamu kuruhusiwa ama la kwa sarafu za kimtandao alisema Andrew Kaware mkurugenzi wa malipo ya taifa.
